lookup,year,age,brood,brood_removals
19822,1984,2,1982,15
19813,1984,3,1981,423
19804,1984,4,1980,1084
19795,1984,5,1979,44
19832,1985,2,1983,0
19823,1985,3,1982,267
19814,1985,4,1981,361
19805,1985,5,1980,13
19842,1986,2,1984,0
19833,1986,3,1983,16
19824,1986,4,1982,689
19815,1986,5,1981,28
19852,1987,2,1985,0
19843,1987,3,1984,141
19834,1987,4,1983,562
19825,1987,5,1982,215
19862,1988,2,1986,0
19853,1988,3,1985,40
19844,1988,4,1984,383
19835,1988,5,1983,43
19872,1989,2,1987,22
19863,1989,3,1986,1067
19854,1989,4,1985,198
19845,1989,5,1984,113
19882,1990,2,1988,2
19873,1990,3,1987,38
19864,1990,4,1986,1399
19855,1990,5,1985,18
19892,1991,2,1989,7
19883,1991,3,1988,462
19874,1991,4,1987,550
19865,1991,5,1986,423
19902,1992,2,1990,0
19893,1992,3,1989,460
19884,1992,4,1988,1462
19875,1992,5,1987,52
19912,1993,2,1991,0
19903,1993,3,1990,699
19894,1993,4,1989,722
19885,1993,5,1988,68
19922,1994,2,1992,0
19913,1994,3,1991,55
19904,1994,4,1990,1210
19895,1994,5,1989,50
19932,1995,2,1993,2
19923,1995,3,1992,93
19914,1995,4,1991,82
19905,1995,5,1990,42
19942,1996,2,1994,87
19933,1996,3,1993,584
19924,1996,4,1992,561
19915,1996,5,1991,118
19952,1997,2,1995,0
19943,1997,3,1994,888
19934,1997,4,1993,538
19925,1997,5,1992,15
19962,1998,2,1996,86
19953,1998,3,1995,38
19944,1998,4,1994,935
19935,1998,5,1993,26
19972,1999,2,1997,52
19963,1999,3,1996,539
19954,1999,4,1995,425
19945,1999,5,1994,174
19982,2000,2,1998,17
19973,2000,3,1997,205
19964,2000,4,1996,1150
19955,2000,5,1995,37
19992,2001,2,1999,13
19983,2001,3,1998,588
19974,2001,4,1997,740
19965,2001,5,1996,170
20002,2002,2,2000,4
19993,2002,3,1999,317
19984,2002,4,1998,1034
19975,2002,5,1997,51
20012,2003,2,2001,100
20003,2003,3,2000,114
19994,2003,4,1999,627
19985,2003,5,1998,191
20022,2004,2,2002,13
20013,2004,3,2001,137
20004,2004,4,2000,870
19995,2004,5,1999,159
20032,2005,2,2003,12
20023,2005,3,2002,33
20014,2005,4,2001,135
20005,2005,5,2000,30
20042,2006,2,2004,0
20033,2006,3,2003,103
20024,2006,4,2002,89
20015,2006,5,2001,25
20052,2007,2,2005,27
20043,2007,3,2004,18
20034,2007,4,2003,167
20025,2007,5,2002,5
20062,2008,2,2006,0
20053,2008,3,2005,126
20044,2008,4,2004,66
20035,2008,5,2003,10
20072,2009,2,2007,20
20063,2009,3,2006,4
20054,2009,4,2005,129
20045,2009,5,2004,2
20082,2010,2,2008,2
20073,2010,3,2007,120
20064,2010,4,2006,16
20055,2010,5,2005,12
20092,2011,2,2009,13
20083,2011,3,2008,24
20074,2011,4,2007,208
20065,2011,5,2006,1
20102,2012,2,2010,4
20093,2012,3,2009,85
20084,2012,4,2008,113
20075,2012,5,2007,26
20112,2013,2,2011,3
20103,2013,3,2010,50
20094,2013,4,2009,147
20085,2013,5,2008,10
20122,2014,2,2012,5
20113,2014,3,2011,105
20104,2014,4,2010,127
20095,2014,5,2009,7
20132,2015,2,2013,0
20123,2015,3,2012,22
20114,2015,4,2011,234
20105,2015,5,2010,11
20142,2016,2,2014,12
20133,2016,3,2013,51
20124,2016,4,2012,111
20115,2016,5,2011,51
20152,2017,2,2015,171
20143,2017,3,2014,180
20134,2017,4,2013,89
20125,2017,5,2012,9
