year,category,age,cwt_exp_rs,cwt_exp_br,cwt_exp_additional
1984,TotalAd,2,NA,20,1
1985,TotalAd,2,NA,47,NA
1986,TotalAd,2,NA,18,NA
1987,TotalAd,2,10,2,2
1988,TotalAd,2,27,51,NA
1989,TotalAd,2,NA,4,NA
1990,TotalAd,2,202,44,NA
1991,TotalAd,2,NA,170,NA
1992,TotalAd,2,NA,NA,NA
1993,TotalAd,2,NA,NA,NA
1994,TotalAd,2,NA,NA,NA
1995,TotalAd,2,NA,49,NA
1996,TotalAd,2,7192,62,NA
1997,TotalAd,2,NA,NA,NA
1998,TotalAd,2,883,23,244
1999,TotalAd,2,1617,19,NA
2000,TotalAd,2,1250,31,65
2001,TotalAd,2,3592,91,376
2002,TotalAd,2,1076,8,48
2003,TotalAd,2,4433,97,NA
2004,TotalAd,2,NA,7,NA
2005,TotalAd,2,661,11,NA
2006,TotalAd,2,NA,NA,1598
2007,TotalAd,2,656,NA,709
2008,TotalAd,2,NA,NA,NA
2009,TotalAd,2,834,NA,132
2010,TotalAd,2,75,NA,NA
2011,TotalAd,2,128,NA,NA
2012,TotalAd,2,704,NA,NA
2013,TotalAd,2,1987,NA,NA
2014,TotalAd,2,67,NA,NA
2015,TotalAd,2,156,NA,NA
2016,TotalAd,2,856,NA,NA
2017,TotalAd,2,456,36,NA
1984,TotalAd,3,349,31,NA
1985,TotalAd,3,203,NA,27
1986,TotalAd,3,NA,NA,NA
1987,TotalAd,3,228,NA,NA
1988,TotalAd,3,112,4,25
1989,TotalAd,3,601,74,NA
1990,TotalAd,3,158,39,NA
1991,TotalAd,3,824,32,NA
1992,TotalAd,3,2203,250,NA
1993,TotalAd,3,1399,57,NA
1994,TotalAd,3,302,NA,14
1995,TotalAd,3,625,13,11
1996,TotalAd,3,4405,373,NA
1997,TotalAd,3,3157,264,NA
1998,TotalAd,3,187,3,NA
1999,TotalAd,3,5278,143,1114
2000,TotalAd,3,137,103,6
2001,TotalAd,3,853,177,2
2002,TotalAd,3,473,NA,8
2003,TotalAd,3,966,NA,357
2004,TotalAd,3,3749,113,NA
2005,TotalAd,3,1284,3,NA
2006,TotalAd,3,890,23,NA
2007,TotalAd,3,NA,NA,2673
2008,TotalAd,3,459,3,388
2009,TotalAd,3,32,NA,11
2010,TotalAd,3,1272,NA,623
2011,TotalAd,3,340,1,NA
2012,TotalAd,3,242,1,NA
2013,TotalAd,3,856,3,NA
2014,TotalAd,3,521,2,NA
2015,TotalAd,3,236,NA,NA
2016,TotalAd,3,959,5,NA
2017,TotalAd,3,622,6,NA
1984,TotalAd,4,12,1,NA
1985,TotalAd,4,1297,NA,NA
1986,TotalAd,4,792,3,117
1987,TotalAd,4,1787,94,NA
1988,TotalAd,4,804,14,NA
1989,TotalAd,4,375,24,100
1990,TotalAd,4,3493,44,NA
1991,TotalAd,4,1223,61,NA
1992,TotalAd,4,2836,49,NA
1993,TotalAd,4,9079,382,NA
1994,TotalAd,4,3019,139,NA
1995,TotalAd,4,540,NA,7
1996,TotalAd,4,1522,106,17
1997,TotalAd,4,2549,153,NA
1998,TotalAd,4,16694,253,NA
1999,TotalAd,4,745,17,NA
2000,TotalAd,4,2491,424,659
2001,TotalAd,4,3313,204,1
2002,TotalAd,4,2261,110,152
2003,TotalAd,4,2714,125,92
2004,TotalAd,4,2843,8,931
2005,TotalAd,4,6461,14,NA
2006,TotalAd,4,2249,40,NA
2007,TotalAd,4,1944,9,NA
2008,TotalAd,4,NA,NA,6273
2009,TotalAd,4,1284,3,1124
2010,TotalAd,4,313,NA,110
2011,TotalAd,4,1779,1,1046
2012,TotalAd,4,1004,4,NA
2013,TotalAd,4,294,1,NA
2014,TotalAd,4,1088,3,NA
2015,TotalAd,4,1503,5,NA
2016,TotalAd,4,500,2,NA
2017,TotalAd,4,642,2,NA
1984,TotalAd,5,NA,NA,NA
1985,TotalAd,5,NA,NA,NA
1986,TotalAd,5,81,NA,NA
1987,TotalAd,5,216,25,7
1988,TotalAd,5,129,NA,NA
1989,TotalAd,5,449,4,NA
1990,TotalAd,5,226,NA,33
1991,TotalAd,5,268,8,NA
1992,TotalAd,5,NA,NA,NA
1993,TotalAd,5,271,6,NA
1994,TotalAd,5,612,NA,NA
1995,TotalAd,5,NA,25,NA
1996,TotalAd,5,NA,NA,NA
1997,TotalAd,5,NA,NA,NA
1998,TotalAd,5,NA,NA,NA
1999,TotalAd,5,1215,3,NA
2000,TotalAd,5,18,3,NA
2001,TotalAd,5,538,44,234
2002,TotalAd,5,NA,NA,NA
2003,TotalAd,5,525,NA,78
2004,TotalAd,5,1077,NA,95
2005,TotalAd,5,1156,3,341
2006,TotalAd,5,2004,17,NA
2007,TotalAd,5,109,NA,NA
2008,TotalAd,5,NA,2,NA
2009,TotalAd,5,NA,NA,999
2010,TotalAd,5,111,NA,119
2011,TotalAd,5,NA,NA,NA
2012,TotalAd,5,44,1,16
2013,TotalAd,5,17,2,NA
2014,TotalAd,5,39,2,NA
2015,TotalAd,5,17,NA,NA
2016,TotalAd,5,89,1,NA
2017,TotalAd,5,7,NA,NA
