year,age,female_spawner
1984,2,0.00
1985,2,0.00
1986,2,0.00
1987,2,0.00
1988,2,0.00
1989,2,0.00
1990,2,0.00
1991,2,0.00
1992,2,0.00
1993,2,0.00
1994,2,0.00
1995,2,0.00
1996,2,0.00
1997,2,0.00
1998,2,0.00
1999,2,0.00
2000,2,0.00
2001,2,0.00
2002,2,0.00
2003,2,0.00
2004,2,247.00
2005,2,0.00
2006,2,80.00
2007,2,79.00
2008,2,0.00
2009,2,566.00
2010,2,0.00
2011,2,0.00
2012,2,52.00
2013,2,0.00
2014,2,64.00
1984,3,11062.00
1985,3,12248.00
1986,3,759.00
1987,3,782.00
1988,3,418.00
1989,3,13364.00
1990,3,1391.00
1991,3,8066.00
1992,3,4963.00
1993,3,18552.00
1994,3,765.00
1995,3,3153.00
1996,3,3696.00
1997,3,10237.00
1998,3,611.00
1999,3,12055.00
2000,3,2072.00
2001,3,5922.00
2002,3,3648.00
2003,3,5178.00
2004,3,4075.00
2005,3,5757.00
2006,3,1998.00
2007,3,1964.00
2008,3,5038.00
2009,3,377.00
2010,3,23260.00
2011,3,3286.00
2012,3,3177.00
2013,3,1772.00
2014,3,3387.00
1984,4,32754.00
1985,4,43983.00
1986,4,73224.00
1987,4,26115.00
1988,4,15060.00
1989,4,7817.00
1990,4,69844.00
1991,4,23046.00
1992,4,46165.00
1993,4,44256.00
1994,4,40997.00
1995,4,5676.00
1996,4,13985.00
1997,4,13828.00
1998,4,93249.00
1999,4,14466.00
2000,4,30196.00
2001,4,26115.00
2002,4,34202.00
2003,4,105377.00
2004,4,53471.00
2005,4,37378.00
2006,4,21574.00
2007,4,42730.00
2008,4,7634.00
2009,4,41679.00
2010,4,5430.00
2011,4,78170.00
2012,4,16614.00
2013,4,18525.00
2014,4,16246.00
1984,5,4772.00
1985,5,3897.00
1986,5,3794.00
1987,5,11052.00
1988,5,1813.00
1989,5,3026.00
1990,5,1391.00
1991,5,11523.00
1992,5,2193.00
1993,5,5141.00
1994,5,1242.00
1995,5,3532.00
1996,5,499.00
1997,5,1528.00
1998,5,2443.00
1999,5,10983.00
2000,5,1946.00
2001,5,7744.00
2002,5,2052.00
2003,5,11392.00
2004,5,14942.00
2005,5,11337.00
2006,5,1518.00
2007,5,1571.00
2008,5,1603.00
2009,5,849.00
2010,5,8960.00
2011,5,352.00
2012,5,4115.00
2013,5,644.00
2014,5,1901.00
